City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
262,Dongsheng,CN,2022-05-28 04:31:50,39.8161,109.9776,84.51,10,61,17.09
263,Lewisporte,CA,2022-05-28 04:29:49,49.2499,-55.0482,40.71,89,100,3.0
264,Coihaique,CL,2022-05-28 04:31:50,-45.5752,-72.0662,36.21,75,0,2.3
265,Port Macquarie,AU,2022-05-28 04:31:50,-31.4333,152.9167,74.89,66,80,4.38
266,Marsa Matruh,EG,2022-05-28 04:31:51,31.3525,27.2453,66.4,59,0,3.44
267,Mana,GF,2022-05-28 04:31:51,5.6592,-53.7767,75.43,89,16,6.22
268,Great Bend,US,2022-05-28 04:31:51,38.3645,-98.7648,72.61,59,27,14.97
269,Kaitangata,NZ,2022-05-28 04:31:52,-46.2817,169.8464,48.34,82,49,4.41
270,Birjand,IR,2022-05-28 04:31:52,32.8663,59.2211,72.07,24,0,6.91
271,Lancaster,US,2022-05-28 04:26:58,40.2504,-76.2499,67.23,97,90,3.0
272,Nenjiang,CN,2022-05-28 04:31:52,49.1833,125.2167,70.79,22,12,10.87
273,Puerto Ayacucho,VE,2022-05-28 04:31:53,5.6639,-67.6236,72.05,95,96,1.7
274,Lorengau,PG,2022-05-28 04:31:53,-2.0226,147.2712,84.16,57,100,4.03
275,Cabinda,AO,2022-05-28 04:31:53,-5.55,12.2,71.74,89,1,4.99
276,Morgan City,US,2022-05-28 04:31:53,29.6994,-91.2068,71.6,100,0,3.44
277,Valdepenas,ES,2022-05-28 04:31:54,38.7621,-3.3848,62.28,41,0,3.8
278,Aketi,CD,2022-05-28 04:31:54,2.7388,23.7833,69.13,99,86,1.21
279,Lapas,GR,2022-05-28 04:32:54,38.1,21.4167,71.85,77,20,0.0
280,Ancud,CL,2022-05-28 04:32:55,-41.8697,-73.8203,42.08,81,14,2.77
281,Buriti Dos Lopes,BR,2022-05-28 04:32:55,-3.175,-41.8669,71.2,95,6,1.86
282,Vardo,NO,2022-05-28 04:32:55,70.3705,31.1107,40.98,93,100,13.8
283,Green River,US,2022-05-28 04:30:02,41.5286,-109.4662,57.6,36,99,11.92
284,Rosarito,MX,2022-05-28 04:32:56,32.3333,-117.0333,62.26,78,63,7.25
285,Lithakia,GR,2022-05-28 04:29:30,37.7167,20.8333,67.33,72,40,2.3
286,Port-Gentil,GA,2022-05-28 04:32:56,-0.7193,8.7815,74.77,86,12,8.19
287,Fallon,US,2022-05-28 04:32:56,39.4735,-118.7774,69.67,25,75,9.22
288,Gandu,BR,2022-05-28 04:32:47,-13.7439,-39.4867,63.27,100,36,3.02
289,Mahajanga,MG,2022-05-28 04:32:57,-15.7167,46.3167,71.62,78,40,5.75
290,Macusani,PE,2022-05-28 04:32:57,-14.0833,-70.4333,30.15,75,40,3.18
291,Encheng,CN,2022-05-28 04:32:57,22.1839,112.3026,85.96,75,96,10.83
292,Yerbogachen,RU,2022-05-28 04:32:58,61.2767,108.0108,53.17,30,78,7.63
